InteractionID,CustomerID,DateofInteraction,InteractionType,PurposeofInteraction,OutcomeofInteraction,EmployeeID
1,85,04-01-2018,Email,Inquiry,Resolved,1004
2,41,05-01-2018,Call,Complaint,Escalated,1001
3,14,06-01-2018,Chat,Feedback,Resolved,1009
4,35,07-01-2018,Email,Inquiry,Resolved,1008
5,95,08-01-2018,Call,Complaint,Pending,1008
6,13,09-01-2018,Chat,Feedback,Resolved,1005
7,69,10-01-2018,Email,Inquiry,Resolved,1004
8,70,10-01-2018,Call,Complaint,Resolved,1018
9,52,12-01-2018,Chat,Feedback,Resolved,1003
10,5,14-01-2018,Email,Inquiry,Pending,1019
11,84,16-01-2018,Call,Complaint,Resolved,1014
12,50,08-02-2018,Chat,Feedback,Resolved,1002
13,57,08-02-2018,Email,Inquiry,Resolved,1001
14,90,08-02-2018,Call,Complaint,Resolved,1003
15,76,09-02-2018,Chat,Feedback,Pending,1007
16,51,10-02-2018,Email,Inquiry,Resolved,1008
17,56,10-02-2018,Call,Complaint,Resolved,1017
18,58,13-02-2018,Chat,Feedback,Resolved,1020
19,33,14-02-2018,Email,Inquiry,Resolved,1001
20,15,14-02-2018,Call,Complaint,Resolved,1018
21,34,07-03-2018,Chat,Feedback,Resolved,1007
22,54,08-03-2018,Email,Inquiry,Resolved,1018
23,93,09-03-2018,Call,Complaint,Resolved,1014
24,40,10-03-2018,Chat,Feedback,Resolved,1008
25,77,10-03-2018,Email,Inquiry,Resolved,1015
26,54,12-03-2018,Call,Complaint,Resolved,1019
27,34,12-03-2018,Chat,Feedback,Resolved,1009
28,32,13-03-2018,Email,Inquiry,Resolved,1001
29,96,16-03-2018,Call,Complaint,Resolved,1006
30,25,16-03-2018,Chat,Feedback,Resolved,1014
31,64,25-03-2018,Email,Inquiry,Resolved,1011
32,58,04-04-2018,Call,Complaint,Resolved,1009
33,67,08-04-2018,Chat,Feedback,Resolved,1005
34,15,09-04-2018,Email,Inquiry,Resolved,1007
35,30,09-04-2018,Call,Complaint,Resolved,1011
36,67,11-04-2018,Chat,Feedback,Resolved,1004
37,33,12-04-2018,Email,Inquiry,Resolved,1003
38,1,12-04-2018,Call,Complaint,Resolved,1013
39,9,04-05-2018,Chat,Feedback,Resolved,1004
40,64,05-05-2018,Email,Inquiry,Resolved,1012
41,71,05-05-2018,Call,Complaint,Resolved,1012
42,50,08-05-2018,Chat,Feedback,Resolved,1020
43,3,09-05-2018,Email,Inquiry,Resolved,1009
44,46,10-05-2018,Call,Complaint,Resolved,1002
45,55,11-05-2018,Chat,Feedback,Resolved,1015
46,83,14-05-2018,Email,Inquiry,Resolved,1018
47,30,06-06-2018,Call,Complaint,Resolved,1004
48,66,07-06-2018,Chat,Feedback,Resolved,1013
49,97,07-06-2018,Email,Inquiry,Resolved,1003
50,100,09-06-2018,Call,Complaint,Resolved,1018
51,17,10-06-2018,Email,Inquiry,Pending,1010
52,70,12-06-2018,Call,Complaint,Resolved,1020
53,93,06-07-2018,Chat,Feedback,Resolved,1012
54,14,08-07-2018,Email,Inquiry,Escalated,1019
55,66,08-07-2018,Call,Complaint,Resolved,1007
56,2,10-07-2018,Email,Feedback,Resolved,1003
57,70,11-07-2018,Chat,Inquiry,Pending,1002
58,93,12-07-2018,Email,Feedback,Resolved,1008
59,86,14-07-2018,Call,Complaint,Resolved,1010
60,65,15-07-2018,Chat,Inquiry,Resolved,1003
61,88,04-08-2018,Email,Feedback,Pending,1008
62,48,06-08-2018,Call,Complaint,Resolved,1004
63,94,06-08-2018,Chat,Feedback,Resolved,1013
64,26,09-08-2018,Email,Inquiry,Resolved,1009
65,54,09-08-2018,Call,Complaint,Pending,1015
66,6,10-08-2018,Chat,Feedback,Resolved,1012
67,26,12-08-2018,Email,Inquiry,Resolved,1006
68,86,15-08-2018,Call,Complaint,Resolved,1012
69,31,16-08-2018,Chat,Feedback,Pending,1012
70,48,03-09-2018,Email,Inquiry,Resolved,1007
71,73,06-09-2018,Call,Complaint,Pending,1009
72,12,06-09-2018,Chat,Feedback,Resolved,1003
73,92,08-09-2018,Email,Inquiry,Resolved,1020
74,6,09-09-2018,Call,Complaint,Resolved,1006
75,88,11-09-2018,Chat,Feedback,Resolved,1018
76,52,11-09-2018,Email,Inquiry,Pending,1008
77,93,13-09-2018,Call,Complaint,Resolved,1006
78,22,04-10-2018,Chat,Feedback,Pending,1015
79,46,08-10-2018,Email,Inquiry,Resolved,1013
80,23,10-10-2018,Call,Complaint,Resolved,1009
81,96,11-10-2018,Email,Inquiry,Pending,1018
82,58,15-10-2018,Call,Complaint,Resolved,1008
83,96,21-10-2018,Chat,Feedback,Resolved,1011
84,96,04-11-2018,Email,Inquiry,Escalated,1002
85,89,05-11-2018,Call,Complaint,Resolved,1008
86,42,06-11-2018,Email,Feedback,Resolved,1002
87,24,06-11-2018,Chat,Inquiry,Pending,1011
88,90,07-11-2018,Email,Feedback,Resolved,1013
89,49,09-11-2018,Call,Complaint,Resolved,1009
90,55,12-11-2018,Chat,Inquiry,Resolved,1003
91,23,13-11-2018,Email,Feedback,Pending,1007
92,96,15-11-2018,Call,Complaint,Resolved,1019
93,49,15-11-2018,Chat,Feedback,Resolved,1011
94,49,30-11-2018,Email,Inquiry,Resolved,1007
95,49,04-12-2018,Call,Complaint,Pending,1016
96,81,05-12-2018,Chat,Feedback,Resolved,1013
97,12,05-12-2018,Email,Inquiry,Resolved,1015
98,37,08-12-2018,Call,Complaint,Resolved,1005
99,83,10-12-2018,Chat,Feedback,Pending,1009
100,71,10-12-2018,Email,Inquiry,Resolved,1005
101,35,11-12-2018,Call,Complaint,Pending,1008
102,13,11-12-2018,Chat,Feedback,Resolved,1018
103,22,14-12-2018,Email,Inquiry,Resolved,1018
104,12,04-01-2019,Call,Complaint,Resolved,1009
105,50,18-01-2019,Chat,Feedback,Resolved,1019
106,57,06-02-2019,Email,Inquiry,Pending,1014
107,5,07-02-2019,Call,Complaint,Resolved,1019
108,18,09-02-2019,Chat,Feedback,Pending,1013
109,51,10-02-2019,Email,Inquiry,Resolved,1012
110,24,12-02-2019,Call,Complaint,Resolved,1008
111,85,07-03-2019,Email,Inquiry,Pending,1005
112,79,08-03-2019,Call,Complaint,Resolved,1017
113,10,12-03-2019,Chat,Feedback,Resolved,1016
114,48,13-03-2019,Email,Inquiry,Escalated,1003
115,61,13-03-2019,Call,Complaint,Resolved,1002
116,33,14-03-2019,Email,Feedback,Resolved,1004
117,42,14-03-2019,Chat,Inquiry,Pending,1005
118,75,14-03-2019,Email,Feedback,Resolved,1006
119,10,16-03-2019,Call,Complaint,Resolved,1014
120,87,16-03-2019,Chat,Inquiry,Resolved,1020
121,33,18-03-2019,Email,Feedback,Pending,1003
122,10,21-03-2019,Call,Complaint,Resolved,1013
123,14,03-04-2019,Chat,Feedback,Resolved,1013
124,14,03-04-2019,Email,Inquiry,Resolved,1020
125,3,04-04-2019,Call,Complaint,Pending,1015
126,94,08-04-2019,Chat,Feedback,Resolved,1017
127,4,11-04-2019,Email,Inquiry,Resolved,1009
128,4,16-04-2019,Call,Complaint,Resolved,1018
129,92,16-04-2019,Chat,Feedback,Pending,1001
130,35,05-05-2019,Email,Inquiry,Resolved,1004
131,68,08-05-2019,Call,Complaint,Pending,1018
132,100,08-05-2019,Chat,Feedback,Resolved,1009
133,20,10-05-2019,Email,Inquiry,Resolved,1011
134,2,11-05-2019,Call,Complaint,Resolved,1004
135,65,12-05-2019,Chat,Feedback,Resolved,1010
136,91,04-06-2019,Email,Inquiry,Pending,1014
137,66,05-06-2019,Call,Complaint,Resolved,1006
138,46,08-06-2019,Chat,Feedback,Pending,1015
139,37,10-06-2019,Email,Inquiry,Resolved,1001
140,90,10-06-2019,Call,Complaint,Resolved,1009
141,7,11-06-2019,Email,Inquiry,Pending,1017
142,76,11-06-2019,Call,Complaint,Resolved,1006
143,7,16-06-2019,Chat,Feedback,Resolved,1017
144,63,06-07-2019,Email,Inquiry,Escalated,1004
145,65,07-07-2019,Call,Complaint,Resolved,1010
146,65,12-07-2019,Email,Feedback,Resolved,1017
147,22,04-08-2019,Chat,Inquiry,Pending,1020
148,29,04-08-2019,Email,Feedback,Resolved,1007
149,87,06-08-2019,Call,Complaint,Resolved,1005
150,98,07-08-2019,Chat,Inquiry,Resolved,1012
151,68,08-08-2019,Email,Feedback,Pending,1006
152,53,10-08-2019,Call,Complaint,Resolved,1018
153,29,11-08-2019,Chat,Feedback,Resolved,1017
154,100,14-08-2019,Email,Inquiry,Resolved,1001
155,53,15-08-2019,Call,Complaint,Pending,1020
156,53,28-08-2019,Chat,Feedback,Resolved,1011
157,44,05-09-2019,Email,Inquiry,Resolved,1016
158,61,05-09-2019,Call,Complaint,Resolved,1001
159,99,07-09-2019,Chat,Feedback,Pending,1004
160,18,08-09-2019,Email,Inquiry,Resolved,1012
161,50,09-09-2019,Call,Complaint,Pending,1010
162,53,10-09-2019,Chat,Feedback,Resolved,1008
163,53,16-09-2019,Email,Inquiry,Resolved,1002
164,53,25-09-2019,Call,Complaint,Resolved,1008
165,59,30-09-2019,Chat,Feedback,Resolved,1019
166,61,04-10-2019,Email,Inquiry,Pending,1003
167,42,06-10-2019,Call,Complaint,Resolved,1003
168,10,06-10-2019,Chat,Feedback,Pending,1016
169,74,09-10-2019,Email,Inquiry,Resolved,1003
170,59,10-10-2019,Call,Complaint,Resolved,1018
171,10,10-10-2019,Email,Inquiry,Pending,1005
172,37,12-10-2019,Call,Complaint,Resolved,1005
173,95,13-10-2019,Chat,Feedback,Resolved,1016
174,21,03-11-2019,Email,Inquiry,Escalated,1018
175,86,05-11-2019,Call,Complaint,Resolved,1006
176,21,08-11-2019,Email,Feedback,Resolved,1009
177,68,08-11-2019,Chat,Inquiry,Pending,1017
178,4,11-11-2019,Email,Feedback,Resolved,1020
179,81,11-11-2019,Call,Complaint,Resolved,1014
180,68,12-11-2019,Chat,Inquiry,Resolved,1007
181,5,12-11-2019,Email,Feedback,Pending,1018
182,21,13-11-2019,Call,Complaint,Resolved,1007
183,86,15-11-2019,Chat,Feedback,Resolved,1010
184,21,18-11-2019,Email,Inquiry,Resolved,1013
185,86,18-11-2019,Call,Complaint,Pending,1012
186,86,22-11-2019,Chat,Feedback,Resolved,1015
187,86,26-11-2019,Email,Inquiry,Resolved,1017
188,86,05-12-2019,Call,Complaint,Resolved,1015
189,70,05-12-2019,Chat,Feedback,Pending,1004
190,84,06-12-2019,Email,Inquiry,Resolved,1008
191,26,09-12-2019,Call,Complaint,Pending,1008
192,1,09-12-2019,Chat,Feedback,Resolved,1003
193,98,10-12-2019,Email,Inquiry,Resolved,1011
194,75,11-12-2019,Call,Complaint,Resolved,1001
195,26,14-12-2019,Chat,Feedback,Resolved,1019
196,29,14-12-2019,Email,Inquiry,Pending,1018
197,26,21-12-2019,Call,Complaint,Resolved,1008
198,26,25-12-2019,Chat,Feedback,Pending,1019
199,26,28-12-2019,Email,Inquiry,Resolved,1008
200,26,04-01-2020,Call,Complaint,Resolved,1001
201,34,05-01-2020,Email,Inquiry,Pending,1003
202,9,05-01-2020,Call,Complaint,Resolved,1002
203,5,07-01-2020,Chat,Feedback,Resolved,1008
204,50,08-01-2020,Email,Inquiry,Escalated,1003
205,26,09-01-2020,Call,Complaint,Resolved,1002
206,76,09-01-2020,Email,Feedback,Resolved,1011
207,27,10-01-2020,Chat,Inquiry,Pending,1003
208,26,12-01-2020,Email,Feedback,Resolved,1017
209,27,14-01-2020,Call,Complaint,Resolved,1008
210,5,15-01-2020,Chat,Inquiry,Resolved,1009
211,66,15-01-2020,Email,Feedback,Pending,1016
212,27,18-01-2020,Call,Complaint,Resolved,1007
213,66,19-01-2020,Chat,Feedback,Resolved,1018
214,5,21-01-2020,Email,Inquiry,Resolved,1005
215,27,22-01-2020,Call,Complaint,Pending,1019
216,57,06-02-2020,Chat,Feedback,Resolved,1019
217,67,03-02-2021,Email,Inquiry,Resolved,1016
218,44,04-02-2021,Call,Complaint,Resolved,1008
219,67,08-02-2021,Chat,Feedback,Pending,1016
220,44,09-02-2021,Email,Inquiry,Resolved,1014
221,98,09-02-2021,Call,Complaint,Pending,1007
222,51,10-02-2021,Chat,Feedback,Resolved,1004
223,74,10-02-2021,Email,Inquiry,Resolved,1004
224,44,11-02-2021,Call,Complaint,Resolved,1014
225,67,12-02-2021,Chat,Feedback,Resolved,1012
226,67,15-02-2021,Email,Inquiry,Pending,1014
227,44,25-02-2021,Call,Complaint,Resolved,1014
228,44,28-02-2021,Chat,Feedback,Pending,1015
229,31,06-03-2021,Email,Inquiry,Resolved,1002
230,80,08-03-2021,Call,Complaint,Resolved,1004
231,45,10-03-2021,Email,Inquiry,Pending,1002
232,61,10-03-2021,Call,Complaint,Resolved,1013
233,31,11-03-2021,Chat,Feedback,Resolved,1011
234,80,11-03-2021,Email,Inquiry,Escalated,1004
235,88,11-03-2021,Call,Complaint,Resolved,1008
236,36,13-03-2021,Email,Feedback,Resolved,1007
237,80,14-03-2021,Chat,Inquiry,Pending,1007
238,38,14-03-2021,Email,Feedback,Resolved,1018
239,99,15-03-2021,Call,Complaint,Resolved,1015
240,31,16-03-2021,Chat,Inquiry,Resolved,1005
241,31,20-03-2021,Email,Feedback,Pending,1014
242,80,22-03-2021,Call,Complaint,Resolved,1006
243,80,27-03-2021,Chat,Feedback,Resolved,1009
244,80,03-04-2021,Email,Inquiry,Resolved,1015
245,11,03-04-2021,Call,Complaint,Pending,1008
246,91,04-04-2021,Chat,Feedback,Resolved,1003
247,11,06-04-2021,Email,Inquiry,Resolved,1015
248,79,08-04-2021,Call,Complaint,Pending,1018
249,11,10-04-2021,Chat,Feedback,Resolved,1004
250,73,10-04-2021,Email,Inquiry,Resolved,1002
251,62,11-04-2021,Call,Complaint,Pending,1018
252,25,12-04-2021,Chat,Feedback,Resolved,1001
253,73,14-04-2021,Email,Inquiry,Resolved,1003
254,73,17-04-2021,Call,Complaint,Pending,1008
255,54,05-05-2021,Chat,Feedback,Resolved,1006
256,17,05-05-2021,Email,Inquiry,Resolved,1014
257,87,06-05-2021,Call,Complaint,Pending,1016
258,99,07-05-2021,Chat,Feedback,Resolved,1016
259,54,09-05-2021,Email,Inquiry,Resolved,1007
260,45,10-05-2021,Call,Complaint,Pending,1013
261,95,11-05-2021,Email,Inquiry,Pending,1002
262,39,12-05-2021,Call,Complaint,Resolved,1006
263,54,13-05-2021,Chat,Feedback,Resolved,1013
264,48,13-05-2021,Email,Inquiry,Escalated,1001
265,39,16-05-2021,Call,Complaint,Resolved,1013
266,95,03-06-2021,Email,Feedback,Resolved,1009
267,95,06-06-2021,Chat,Inquiry,Pending,1015
268,100,07-06-2021,Email,Feedback,Resolved,1010
269,97,10-06-2021,Call,Complaint,Resolved,1014
270,10,12-06-2021,Chat,Inquiry,Resolved,1018
271,35,12-06-2021,Email,Feedback,Pending,1016
272,10,16-06-2021,Call,Complaint,Resolved,1005
273,10,22-06-2021,Chat,Feedback,Resolved,1007
274,93,03-07-2021,Email,Inquiry,Resolved,1010
275,92,05-07-2021,Call,Complaint,Pending,1007
276,82,08-07-2021,Chat,Feedback,Resolved,1002
277,55,09-07-2021,Email,Inquiry,Resolved,1019
278,82,10-07-2021,Call,Complaint,Pending,1018
279,61,10-07-2021,Chat,Feedback,Resolved,1002
280,87,11-07-2021,Email,Inquiry,Resolved,1011
281,17,14-07-2021,Call,Complaint,Pending,1002
282,82,15-07-2021,Chat,Feedback,Resolved,1002
283,87,15-07-2021,Email,Inquiry,Resolved,1019
284,87,19-07-2021,Call,Complaint,Pending,1016
285,82,20-07-2021,Chat,Feedback,Resolved,1017
286,82,22-07-2021,Email,Inquiry,Resolved,1017
287,36,04-08-2021,Call,Complaint,Pending,1006
288,89,05-08-2021,Chat,Feedback,Resolved,1002
289,97,07-08-2021,Email,Inquiry,Resolved,1017
290,35,08-08-2021,Call,Complaint,Pending,1003
291,55,08-08-2021,Email,Inquiry,Pending,1006
292,81,09-08-2021,Call,Complaint,Resolved,1003
293,35,11-08-2021,Chat,Feedback,Resolved,1020
294,15,11-08-2021,Email,Inquiry,Escalated,1003
295,85,12-08-2021,Call,Complaint,Resolved,1008
296,35,16-08-2021,Email,Feedback,Resolved,1013
297,85,16-08-2021,Chat,Inquiry,Pending,1004
298,35,21-08-2021,Email,Feedback,Resolved,1019
299,35,28-08-2021,Call,Complaint,Resolved,1008
300,56,03-09-2021,Chat,Inquiry,Resolved,1019
301,40,04-09-2021,Email,Feedback,Pending,1020
302,29,05-09-2021,Call,Complaint,Resolved,1002
303,34,07-09-2021,Chat,Feedback,Resolved,1020
304,29,08-09-2021,Email,Inquiry,Resolved,1003
305,6,08-09-2021,Call,Complaint,Pending,1014
306,20,10-09-2021,Chat,Feedback,Resolved,1019
307,74,11-09-2021,Email,Inquiry,Resolved,1019
308,29,12-09-2021,Call,Complaint,Pending,1017
309,29,15-09-2021,Chat,Feedback,Resolved,1011
310,17,05-10-2021,Email,Inquiry,Resolved,1009
311,69,06-10-2021,Call,Complaint,Pending,1007
312,94,07-10-2021,Chat,Feedback,Resolved,1011
313,12,09-10-2021,Email,Inquiry,Resolved,1008
314,69,10-10-2021,Call,Complaint,Pending,1009
315,94,10-10-2021,Chat,Feedback,Resolved,1013
316,38,11-10-2021,Email,Inquiry,Resolved,1005
317,94,12-10-2021,Call,Complaint,Pending,1010
318,83,12-10-2021,Chat,Feedback,Resolved,1015
319,63,13-10-2021,Email,Inquiry,Resolved,1011
320,38,15-10-2021,Call,Complaint,Pending,1003
321,69,16-10-2021,Email,Inquiry,Pending,1001
322,38,19-10-2021,Call,Complaint,Resolved,1015
323,60,03-11-2021,Chat,Feedback,Resolved,1020
324,1,04-11-2021,Email,Inquiry,Escalated,1019
325,41,05-11-2021,Call,Complaint,Resolved,1004
326,52,06-11-2021,Email,Feedback,Resolved,1003
327,77,07-11-2021,Chat,Inquiry,Pending,1018
328,71,08-11-2021,Email,Feedback,Resolved,1007
329,71,10-11-2021,Call,Complaint,Resolved,1017
330,24,10-11-2021,Chat,Inquiry,Resolved,1009
331,30,11-11-2021,Email,Feedback,Pending,1005
332,71,14-11-2021,Call,Complaint,Resolved,1012
333,71,19-11-2021,Chat,Feedback,Resolved,1003
334,71,23-11-2021,Email,Inquiry,Resolved,1008
335,23,04-12-2021,Call,Complaint,Pending,1012
336,98,06-12-2021,Chat,Feedback,Resolved,1010
337,70,06-12-2021,Email,Inquiry,Resolved,1006
338,93,07-12-2021,Call,Complaint,Pending,1015
339,17,09-12-2021,Chat,Feedback,Resolved,1018
340,98,10-12-2021,Email,Inquiry,Resolved,1010
341,18,10-12-2021,Call,Complaint,Pending,1020
342,9,10-12-2021,Chat,Feedback,Resolved,1017
343,13,12-12-2021,Email,Inquiry,Resolved,1001
344,98,14-12-2021,Call,Complaint,Pending,1018
345,9,14-12-2021,Chat,Feedback,Resolved,1010
346,90,14-12-2021,Email,Inquiry,Resolved,1004
347,18,15-12-2021,Call,Complaint,Pending,1005
348,2,15-12-2021,Chat,Feedback,Resolved,1009
349,90,18-12-2021,Email,Inquiry,Resolved,1004
350,18,19-12-2021,Call,Complaint,Pending,1004
